Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2010-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2010-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2010-03-01,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2010-03-08,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2010-03-08,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2010-03-08,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2010-03-08,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2010-04-02,Good Friday,Good Friday,AU,False,True,,Public,
2010-04-03,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2010-04-04,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2010-04-05,Easter Monday,Easter Monday,AU,False,True,,Public,
2010-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2010-05-03,May Day,May Day,AU,False,False,,Public,AU-NT
2010-05-03,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2010-05-31,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2010-06-07,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2010-06-14,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2010-08-02,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2010-10-04,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2010-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2010-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2011-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2011-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2011-03-07,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2011-03-14,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2011-03-14,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2011-03-14,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2011-03-14,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2011-04-22,Good Friday,Good Friday,AU,False,True,,Public,
2011-04-23,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2011-04-24,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2011-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2011-04-25,Easter Monday,Easter Monday,AU,False,True,,Public,
2011-05-02,May Day,May Day,AU,False,False,,Public,AU-NT
2011-05-02,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2011-05-30,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2011-06-06,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2011-06-13,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2011-08-01,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2011-10-03,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2011-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2011-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2012-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2012-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2012-03-05,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2012-03-12,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2012-03-12,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2012-03-12,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2012-03-12,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2012-04-06,Good Friday,Good Friday,AU,False,True,,Public,
2012-04-07,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2012-04-08,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2012-04-09,Easter Monday,Easter Monday,AU,False,True,,Public,
2012-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2012-05-07,May Day,May Day,AU,False,False,,Public,AU-NT
2012-05-07,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2012-05-28,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2012-06-04,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2012-06-11,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2012-08-06,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2012-10-01,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2012-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2012-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2013-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2013-01-28,Australia Day,Australia Day,AU,False,True,,Public,
2013-03-04,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2013-03-11,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2013-03-11,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2013-03-11,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2013-03-11,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2013-03-29,Good Friday,Good Friday,AU,False,True,,Public,
2013-03-30,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2013-03-31,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2013-04-01,Easter Monday,Easter Monday,AU,False,True,,Public,
2013-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2013-05-06,May Day,May Day,AU,False,False,,Public,AU-NT
2013-05-06,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2013-05-27,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2013-06-03,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2013-06-10,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2013-08-05,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2013-10-07,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2013-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2013-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2014-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2014-01-27,Australia Day,Australia Day,AU,False,True,,Public,
2014-03-03,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2014-03-10,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2014-03-10,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2014-03-10,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2014-03-10,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2014-04-18,Good Friday,Good Friday,AU,False,True,,Public,
2014-04-19,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2014-04-20,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2014-04-21,Easter Monday,Easter Monday,AU,False,True,,Public,
2014-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2014-05-05,May Day,May Day,AU,False,False,,Public,AU-NT
2014-05-05,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2014-06-02,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2014-06-02,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2014-06-09,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2014-08-04,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2014-10-06,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2014-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2014-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2015-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2015-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2015-03-02,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2015-03-09,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2015-03-09,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2015-03-09,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2015-03-09,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2015-04-03,Good Friday,Good Friday,AU,False,True,,Public,
2015-04-04,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2015-04-05,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2015-04-06,Easter Monday,Easter Monday,AU,False,True,,Public,
2015-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2015-05-04,May Day,May Day,AU,False,False,,Public,AU-NT
2015-05-04,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2015-06-01,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2015-06-01,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2015-06-08,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2015-08-03,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2015-10-05,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2015-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2015-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2016-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2016-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2016-03-07,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2016-03-14,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2016-03-14,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2016-03-14,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2016-03-14,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2016-03-25,Good Friday,Good Friday,AU,False,True,,Public,
2016-03-26,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2016-03-27,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2016-03-28,Easter Monday,Easter Monday,AU,False,True,,Public,
2016-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2016-05-02,May Day,May Day,AU,False,False,,Public,AU-NT
2016-05-02,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2016-05-30,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2016-06-06,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2016-06-13,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2016-08-01,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2016-10-03,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2016-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2016-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2017-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2017-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2017-03-06,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2017-03-13,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2017-03-13,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2017-03-13,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2017-03-13,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2017-04-14,Good Friday,Good Friday,AU,False,True,,Public,
2017-04-15,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2017-04-16,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2017-04-17,Easter Monday,Easter Monday,AU,False,True,,Public,
2017-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2017-05-01,May Day,May Day,AU,False,False,,Public,AU-NT
2017-05-01,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2017-05-29,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2017-06-05,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2017-06-12,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2017-08-07,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2017-10-02,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2017-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2017-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2018-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2018-01-26,Australia Day,Australia Day,AU,False,True,,Public,
2018-03-05,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2018-03-12,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2018-03-12,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2018-03-12,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2018-03-12,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2018-03-30,Good Friday,Good Friday,AU,False,True,,Public,
2018-03-31,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2018-04-01,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2018-04-02,Easter Monday,Easter Monday,AU,False,True,,Public,
2018-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2018-05-07,May Day,May Day,AU,False,False,,Public,AU-NT
2018-05-07,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2018-05-28,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2018-06-04,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2018-06-11,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2018-08-06,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2018-10-01,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2018-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2018-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2019-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2019-01-28,Australia Day,Australia Day,AU,False,True,,Public,
2019-03-04,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2019-03-11,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2019-03-11,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2019-03-11,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2019-03-11,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2019-04-19,Good Friday,Good Friday,AU,False,True,,Public,
2019-04-20,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2019-04-21,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2019-04-22,Easter Monday,Easter Monday,AU,False,True,,Public,
2019-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2019-05-06,May Day,May Day,AU,False,False,,Public,AU-NT
2019-05-06,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2019-05-27,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2019-06-03,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2019-06-10,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2019-08-05,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2019-10-07,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2019-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2019-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2020-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2020-01-27,Australia Day,Australia Day,AU,False,True,,Public,
2020-03-02,Labour Day,Labour Day,AU,False,False,,Public,AU-WA
2020-03-09,Canberra Day,Canberra Day,AU,False,False,,Public,AU-ACT
2020-03-09,March Public Holiday,March Public Holiday,AU,False,False,,Public,AU-SA
2020-03-09,Eight Hours Day,Eight Hours Day,AU,False,False,,Public,AU-TAS
2020-03-09,Labour Day,Labour Day,AU,False,False,,Public,AU-VIC
2020-04-10,Good Friday,Good Friday,AU,False,True,,Public,
2020-04-11,Easter Eve,Holy Saturday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-QLD,AU-SA,AU-VIC"
2020-04-12,Easter Sunday,Easter Sunday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-VIC"
2020-04-13,Easter Monday,Easter Monday,AU,False,True,,Public,
2020-04-25,Anzac Day,Anzac Day,AU,True,True,,Public,
2020-05-04,Labour Day,Labour Day,AU,False,False,,Public,AU-QLD
2020-05-04,May Day,May Day,AU,False,False,,Public,AU-NT
2020-06-01,Reconciliation Day,Reconciliation Day,AU,False,False,2018.0,Public,AU-ACT
2020-06-01,Western Australia Day,Western Australia Day,AU,False,False,,Public,AU-WA
2020-06-08,Queen's Birthday,Queen's Birthday,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-NT,AU-SA,AU-TAS,AU-VIC"
2020-08-03,Picnic Day,Picnic Day,AU,False,False,,Public,AU-NT
2020-10-05,Labour Day,Labour Day,AU,False,False,,Public,"AU-ACT,AU-NSW,AU-SA"
2020-12-25,Christmas Day,Christmas Day,AU,False,True,,Public,
2020-12-26,Boxing Day,St. Stephen's Day,AU,False,True,,Public,
2021-01-01,New Year's Day,New Year's Day,AU,True,True,,Public,
2021-01-26,Australia Day,Australia Day,AU,False,True,,Public,
